,Codi_Districte,Seccio_Censal,Nom_Districte,Camp,Nom_Barri,Codi_AEB,Codi_Barri,Nombre,_id,Data
56,4,1,Les Corts,JUNTS,les Corts,77,19,85,57,2023-07-23T00:00:00
57,4,1,Les Corts,ERC,les Corts,77,19,80,58,2023-07-23T00:00:00
58,4,1,Les Corts,SUMAR-ECP,les Corts,77,19,70,59,2023-07-23T00:00:00
59,4,1,Les Corts,VOX,les Corts,77,19,29,60,2023-07-23T00:00:00
60,4,1,Les Corts,CUP-PR,les Corts,77,19,18,61,2023-07-23T00:00:00
61,4,1,Les Corts,PDeCAT-E-CiU,les Corts,77,19,5,62,2023-07-23T00:00:00
62,4,1,Les Corts,PACMA,les Corts,77,19,4,63,2023-07-23T00:00:00
63,4,1,Les Corts,Vots nuls,les Corts,77,19,3,64,2023-07-23T00:00:00
64,4,1,Les Corts,Vots blancs,les Corts,77,19,1,65,2023-07-23T00:00:00
65,4,1,Les Corts,FO,les Corts,77,19,0,66,2023-07-23T00:00:00
66,4,1,Les Corts,RECORTES CERO,les Corts,77,19,0,67,2023-07-23T00:00:00
67,4,1,Les Corts,PCTC,les Corts,77,19,0,68,2023-07-23T00:00:00
68,5,1,Sarrià-Sant Gervasi,Electors,"Vallvidrera, el Tibidabo i les Planes",91,22,1196,69,2023-07-23T00:00:00
69,5,1,Sarrià-Sant Gervasi,Votants,"Vallvidrera, el Tibidabo i les Planes",91,22,755,70,2023-07-23T00:00:00
70,5,1,Sarrià-Sant Gervasi,Vots vàlids,"Vallvidrera, el Tibidabo i les Planes",91,22,750,71,2023-07-23T00:00:00
71,5,1,Sarrià-Sant Gervasi,PSC-PSOE,"Vallvidrera, el Tibidabo i les Planes",91,22,191,72,2023-07-23T00:00:00
72,5,1,Sarrià-Sant Gervasi,SUMAR-ECP,"Vallvidrera, el Tibidabo i les Planes",91,22,187,73,2023-07-23T00:00:00
73,5,1,Sarrià-Sant Gervasi,ERC,"Vallvidrera, el Tibidabo i les Planes",91,22,111,74,2023-07-23T00:00:00
74,5,1,Sarrià-Sant Gervasi,JUNTS,"Vallvidrera, el Tibidabo i les Planes",91,22,87,75,2023-07-23T00:00:00
75,5,1,Sarrià-Sant Gervasi,PP,"Vallvidrera, el Tibidabo i les Planes",91,22,64,76,2023-07-23T00:00:00
76,5,1,Sarrià-Sant Gervasi,VOX,"Vallvidrera, el Tibidabo i les Planes",91,22,48,77,2023-07-23T00:00:00
77,5,1,Sarrià-Sant Gervasi,CUP-PR,"Vallvidrera, el Tibidabo i les Planes",91,22,39,78,2023-07-23T00:00:00
78,5,1,Sarrià-Sant Gervasi,PACMA,"Vallvidrera, el Tibidabo i les Planes",91,22,8,79,2023-07-23T00:00:00
79,5,1,Sarrià-Sant Gervasi,Vots blancs,"Vallvidrera, el Tibidabo i les Planes",91,22,7,80,2023-07-23T00:00:00
80,5,1,Sarrià-Sant Gervasi,PDeCAT-E-CiU,"Vallvidrera, el Tibidabo i les Planes",91,22,5,81,2023-07-23T00:00:00
81,5,1,Sarrià-Sant Gervasi,Vots nuls,"Vallvidrera, el Tibidabo i les Planes",91,22,5,82,2023-07-23T00:00:00
82,5,1,Sarrià-Sant Gervasi,FO,"Vallvidrera, el Tibidabo i les Planes",91,22,2,83,2023-07-23T00:00:00
83,5,1,Sarrià-Sant Gervasi,PCTC,"Vallvidrera, el Tibidabo i les Planes",91,22,1,84,2023-07-23T00:00:00
84,5,1,Sarrià-Sant Gervasi,RECORTES CERO,"Vallvidrera, el Tibidabo i les Planes",91,22,0,85,2023-07-23T00:00:00
85,6,1,Gràcia,Electors,Vallcarca i els Penitents,114,28,783,86,2023-07-23T00:00:00
86,6,1,Gràcia,Votants,Vallcarca i els Penitents,114,28,485,87,2023-07-23T00:00:00
