,Codi_Districte,Nom_Districte,Índex RFD Barcelona = 100,Nom_Barri,Codi_Barri,Població,_id,Any
0,1,Ciutat Vella,64.7,el Raval,1,46595,1,2007
1,1,Ciutat Vella,86.5,el Barri Gòtic,2,27946,2,2007
2,1,Ciutat Vella,66.7,la Barceloneta,3,15921,3,2007
3,1,Ciutat Vella,80.2,"Sant Pere, Santa Caterina i la Ribera",4,22572,4,2007
4,2,Eixample,107.9,el Fort Pienc,5,31521,5,2007
5,2,Eixample,101.8,la Sagrada Família,6,52185,6,2007
6,2,Eixample,137.6,la Dreta de l'Eixample,7,42504,7,2007
7,2,Eixample,126.5,l'Antiga Esquerra de l'Eixample,8,41413,8,2007
8,2,Eixample,116.9,la Nova Esquerra de l'Eixample,9,58146,9,2007
9,2,Eixample,103.8,Sant Antoni,10,37988,10,2007
10,3,Sants-Montjuïc,73.3,el Poble Sec,11,39579,11,2007
11,3,Sants-Montjuïc,80.4,la Marina del Prat Vermell,12,1005,12,2007
12,3,Sants-Montjuïc,80.2,la Marina de Port,13,29327,13,2007
13,3,Sants-Montjuïc,90.4,la Font de la Guatlla,14,10064,14,2007
14,3,Sants-Montjuïc,82.7,Hostafrancs,15,15771,15,2007
15,3,Sants-Montjuïc,81.9,la Bordeta,16,18592,16,2007
16,3,Sants-Montjuïc,85.9,Sants - Badal,17,24085,17,2007
17,3,Sants-Montjuïc,89.5,Sants,18,40272,18,2007
18,4,Les Corts,130.4,les Corts,19,46400,19,2007
19,4,Les Corts,127.9,la Maternitat i Sant Ramon,20,23938,20,2007
20,4,Les Corts,193.6,Pedralbes,21,11413,21,2007
21,5,Sarrià-Sant Gervasi,146.4,"Vallvidrera, el Tibidabo i les Planes",22,4038,22,2007
22,5,Sarrià-Sant Gervasi,174.9,Sarrià,23,23316,23,2007
23,5,Sarrià-Sant Gervasi,215.3,les Tres Torres,24,15325,24,2007
24,5,Sarrià-Sant Gervasi,182.2,Sant Gervasi - la Bonanova,25,23634,25,2007
25,5,Sarrià-Sant Gervasi,187.0,Sant Gervasi - Galvany,26,46454,26,2007
26,5,Sarrià-Sant Gervasi,150.2,el Putxet i el Farró,27,28990,27,2007
27,6,Gràcia,113.2,Vallcarca i els Penitents,28,15381,28,2007
28,6,Gràcia,91.7,el Coll,29,7190,29,2007
29,6,Gràcia,113.0,la Salut,30,13072,30,2007
30,6,Gràcia,101.9,la Vila de Gràcia,31,50409,31,2007
31,6,Gràcia,104.3,el Camp d'en Grassot i Gràcia Nova,32,34535,32,2007
32,7,Horta-Guinardó,96.6,el Baix Guinardó,33,25816,33,2007
33,7,Horta-Guinardó,81.2,Can Baró,34,8998,34,2007
34,7,Horta-Guinardó,93.0,el Guinardó,35,35038,35,2007
35,7,Horta-Guinardó,103.5,la Font d'en Fargues,36,9621,36,2007
36,7,Horta-Guinardó,72.0,el Carmel,37,32745,37,2007
37,7,Horta-Guinardó,72.2,la Teixonera,38,11332,38,2007
38,7,Horta-Guinardó,85.7,Sant Genís dels Agudells,39,7069,39,2007
39,7,Horta-Guinardó,85.5,Montbau,40,5105,40,2007
40,7,Horta-Guinardó,96.5,la Vall d'Hebron,41,5476,41,2007
41,7,Horta-Guinardó,89.9,la Clota,42,445,42,2007
42,7,Horta-Guinardó,85.9,Horta,43,26638,43,2007
43,8,Nou Barris,83.0,Vilapicina i la Torre Llobeta,44,25672,44,2007
44,8,Nou Barris,75.3,Porta,45,23470,45,2007
45,8,Nou Barris,65.4,el Turó de la Peira,46,15102,46,2007
46,8,Nou Barris,49.8,Can Peguera,47,2143,47,2007
47,8,Nou Barris,82.0,la Guineueta,48,15394,48,2007
48,8,Nou Barris,76.7,Canyelles,49,7539,49,2007
49,8,Nou Barris,60.9,les Roquetes,50,15756,50,2007
50,8,Nou Barris,63.8,Verdun,51,12301,51,2007
51,8,Nou Barris,72.6,la Prosperitat,52,26696,52,2007
52,8,Nou Barris,53.0,la Trinitat Nova,53,8011,53,2007
53,8,Nou Barris,58.0,Torre Baró,54,2105,54,2007
54,8,Nou Barris,59.4,Ciutat Meridiana,55,10929,55,2007
55,8,Nou Barris,51.6,Vallbona,56,1267,56,2007
56,9,Sant Andreu,74.8,la Trinitat Vella,57,9992,57,2007
57,9,Sant Andreu,44.5,Baró de Viver,58,2397,58,2007
58,9,Sant Andreu,66.2,el Bon Pastor,59,12332,59,2007
59,9,Sant Andreu,85.9,Sant Andreu,60,55171,60,2007
60,9,Sant Andreu,88.1,la Sagrera,61,28469,61,2007
61,9,Sant Andreu,86.5,el Congrés i els Indians,62,13896,62,2007
62,9,Sant Andreu,92.9,Navas,63,21454,63,2007
63,10,Sant Martí,93.4,el Camp de l'Arpa del Clot,64,38604,64,2007
64,10,Sant Martí,88.5,el Clot,65,26796,65,2007
65,10,Sant Martí,103.2,el Parc i la Llacuna del Poblenou,66,13104,66,2007
66,10,Sant Martí,132.8,la Vila Olímpica del Poblenou,67,8783,67,2007
67,10,Sant Martí,94.5,el Poblenou,68,30181,68,2007
68,10,Sant Martí,101.1,Diagonal Mar i el Front Marítim del Poblenou,69,9775,69,2007
69,10,Sant Martí,61.7,el Besòs i el Maresme,70,22652,70,2007
70,10,Sant Martí,85.7,Provençals del Poblenou,71,18731,71,2007
71,10,Sant Martí,81.5,Sant Martí de Provençals,72,26261,72,2007
72,10,Sant Martí,74.8,la Verneda i la Pau,73,29452,73,2007
73,99,No consta,-,No consta,99,879,74,2007
